,tweet_id,timestamp,text,rating_numerator,rating_denominator,name,stage,source_name,favorite_count,retweet_count,rating_ratio,text_len
0,892420643555336193,2017-08-01 16:23:56,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 ,13.0,10.0,Phineas,,Twitter for iPhone,38883,8614,1.3,86
1,892177421306343426,2017-08-01 00:17:27,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 ",13.0,10.0,Tilly,,Twitter for iPhone,33294,6329,1.3,139
2,891815181378084864,2017-07-31 00:18:03,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 ,12.0,10.0,Archie,,Twitter for iPhone,25091,4200,1.2,122
3,891689557279858688,2017-07-30 15:58:51,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us ,13.0,10.0,Darla,,Twitter for iPhone,42250,8726,1.3,80
4,891327558926688256,2017-07-29 16:00:24,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek ",12.0,10.0,Franklin,,Twitter for iPhone,40397,9497,1.2,139
5,891087950875897856,2017-07-29 00:08:17,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek ,13.0,10.0,,,Twitter for iPhone,20258,3142,1.3,139
6,890971913173991426,2017-07-28 16:27:12,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

",13.0,10.0,Jax,,Twitter for iPhone,11875,2095,1.3,119
7,890729181411237888,2017-07-28 00:22:40,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 ,13.0,10.0,,,Twitter for iPhone,65695,19094,1.3,119
8,890609185150312448,2017-07-27 16:25:51,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek ,13.0,10.0,Zoey,,Twitter for iPhone,27822,4312,1.3,123
9,890240255349198849,2017-07-26 15:59:51,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate ,14.0,10.0,Cassie,doggo,Twitter for iPhone,32011,7493,1.4,134
10,890006608113172480,2017-07-26 00:31:25,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek ,13.0,10.0,Koda,,Twitter for iPhone,30717,7416,1.3,131
11,889880896479866881,2017-07-25 16:11:53,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy ,13.0,10.0,Bruno,,Twitter for iPhone,27853,5019,1.3,108
12,889665388333682689,2017-07-25 01:55:32,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 ,13.0,10.0,,puppo,Twitter for iPhone,48219,10164,1.3,107
13,889638837579907072,2017-07-25 00:10:02,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist ,12.0,10.0,Ted,,Twitter for iPhone,27237,4590,1.2,92
